O_id,D_id,O_lng,O_lat,D_lng,D_lat,c_1,c_2,c_3,c_4
a0,a0,24825.49021786632,427394.25498779124,24825.49021786632,427394.25498779124,0.22167733408559157,0.30998597826211777,0.03459520301714854,0.4326870921428648
a0,a1,24825.49021786632,427394.25498779124,71522.99593112349,401799.38657793717,0.11469458675210419,0.2175392650714195,0.016932414331843244,0.6495495733273104
a0,a10,24825.49021786632,427394.25498779124,1021584.537970429,192737.84316717455,0.9648653745298461,0.010311605759728903,0.010319000457966434,0.014504019252458596
a0,a100,24825.49021786632,427394.25498779124,729064.5867565471,616353.595576828,0.02598913176384135,0.9704954329868675,0.0016314307463937928,0.0018840045028973207
a0,a101,24825.49021786632,427394.25498779124,604465.7787624903,601161.3427616485,0.013343706600708657,0.7473324704926732,0.00034500592779026037,0.2389788169788279
a0,a102,24825.49021786632,427394.25498779124,227300.6179683515,234465.3689567292,0.02745017782247691,0.8427076509953215,0.002621600830118283,0.12722057035208334
a0,a103,24825.49021786632,427394.25498779124,262549.5115525438,276007.1063850032,0.02467446242993597,0.7759635285613674,0.0025659954284846923,0.196796013580212
a0,a104,24825.49021786632,427394.25498779124,141495.82808424195,27666.588667256237,0.09768016605323428,0.8260017400967234,0.028100803070203073,0.04821729077983899
a0,a105,24825.49021786632,427394.25498779124,149651.89654663517,107004.38815568032,0.05992690640760937,0.8915745759533339,0.011179528039868039,0.03731898959918862
a0,a106,24825.49021786632,427394.25498779124,87145.4955091862,103261.75015456672,0.09879952115967769,0.569916896613691,0.0198162725400558,0.31146730968657543
a0,a107,24825.49021786632,427394.25498779124,550421.8576009839,421501.6354937888,0.1714694577074064,0.8178534327313675,0.004481860114452373,0.006195249446773703
a0,a108,24825.49021786632,427394.25498779124,469212.51682681136,365092.9343957119,0.17939459494259385,0.7403319486384468,0.011229568784861024,0.06904388763409831
a0,a109,24825.49021786632,427394.25498779124,457259.58257106476,436668.2352637436,0.20325594643218636,0.6584910172532956,0.01927579031588819,0.11897724599862983
a0,a11,24825.49021786632,427394.25498779124,1063702.7984560365,252465.34466685244,0.9738654337755902,0.00687903641854257,0.0072711319960934075,0.011984397809773692
a0,a110,24825.49021786632,427394.25498779124,484707.3607415366,505186.40228925936,0.12108093625897488,0.5969069917618741,0.014921797185521416,0.26709027479362957
a0,a111,24825.49021786632,427394.25498779124,557875.4026106517,519823.9144702488,0.045215930599041616,0.7734169228046911,0.002489952960528824,0.17887719363573848
a0,a112,24825.49021786632,427394.25498779124,552210.6202991571,331106.4029643084,0.4166618149977144,0.5605901076870262,0.009042213184210434,0.013705864131048911
a0,a113,24825.49021786632,427394.25498779124,497910.4343494284,343353.57280621515,0.21291942638113145,0.7435038322757012,0.014598674619774814,0.028978066723392596
a0,a114,24825.49021786632,427394.25498779124,639133.7715610729,335079.08497722796,0.6179714525096675,0.3775459627333531,0.001396416539598656,0.0030861682173807525
a0,a115,24825.49021786632,427394.25498779124,663667.8077525754,424654.4018716619,0.25120210909470453,0.7352080729156669,0.004768881522796702,0.008820936466831802
a0,a116,24825.49021786632,427394.25498779124,653749.3161852743,475552.03833280905,0.07458212460138688,0.9187428783540713,0.0035734501109171315,0.0031015469336246175
a0,a117,24825.49021786632,427394.25498779124,352261.5259270107,752475.5406248274,0.12732653766216928,0.2329757934744161,0.3341665032942931,0.3055311655691214
a0,a118,24825.49021786632,427394.25498779124,454718.72245525534,695925.180765659,0.03099821602625967,0.18364510796455774,0.02191378913359567,0.7634428868755868
a0,a119,24825.49021786632,427394.25498779124,361001.6454365188,694743.6897812112,0.13636880645849325,0.2710782350490432,0.23990390199869474,0.3526490564937688
a0,a12,24825.49021786632,427394.25498779124,965995.1126238111,121370.5970396378,0.9358816428701365,0.04262275183067944,0.010825383115819388,0.010670222183364678
a0,a120,24825.49021786632,427394.25498779124,262040.47401196617,719087.2558822787,0.1539311907372813,0.17590631069455392,0.6246801821980171,0.04548231637014758
a0,a121,24825.49021786632,427394.25498779124,274513.37814416963,831134.2232267559,0.04723373656425401,0.022745481119499946,0.9300207823162461,0.0
