O_id,D_id,O_lng,O_lat,D_lng,D_lat,c_1,c_2,c_3,c_4
a0,a0,56069.80119787663,884692.0917777701,56069.80119787663,884692.0917777701,1.8992099232567686e-05,0.5788199916084003,0.017941921533664983,0.4029824263763466
a0,a1,56069.80119787663,884692.0917777701,631500.9853604235,408601.3213451421,0.0017756706289219937,0.10673539685151608,0.11490228157843646,0.7765866509411254
a0,a10,56069.80119787663,884692.0917777701,896021.2947220546,359609.9806596775,0.00048331510013893827,0.3477334040414469,0.17544236229568277,0.4763409185627314
a0,a100,56069.80119787663,884692.0917777701,893076.217536648,1021703.8859515995,0.0012734504214206768,0.38417046207773636,0.12080555769742408,0.4937505298034188
a0,a101,56069.80119787663,884692.0917777701,767603.1724184022,1034224.311510918,0.0007416694285363035,0.5111516590012627,0.042501510687469955,0.44560516088273106
a0,a102,56069.80119787663,884692.0917777701,727479.3813112767,1064212.2822873783,0.0008028030922146178,0.5680348667367616,0.020333792207482358,0.4108285379635414
a0,a103,56069.80119787663,884692.0917777701,690392.5752829303,1095082.506283032,0.0002563865433572533,0.5858078550642568,0.013073907077836344,0.4008618513145496
a0,a104,56069.80119787663,884692.0917777701,804084.9800456641,861622.067687517,0.001462534663190509,0.42627392147323245,0.1665282917986917,0.4057352520648852
a0,a105,56069.80119787663,884692.0917777701,811911.1682975212,962353.7104343238,0.0011630321501182915,0.445784134098786,0.09184079578442092,0.4612120379666748
a0,a106,56069.80119787663,884692.0917777701,755119.1803370302,871398.7367093757,0.001024101517090436,0.5368382049303785,0.11346264988774664,0.3486750436647845
a0,a107,56069.80119787663,884692.0917777701,863120.9452278519,899714.1952637957,0.0014681131032595913,0.37217679887741106,0.17664478199660902,0.44971030602272033
a0,a108,56069.80119787663,884692.0917777701,840663.7952731225,820019.2215547746,0.0016519155304549407,0.3643032178785762,0.2692646444003565,0.36478022219061235
a0,a109,56069.80119787663,884692.0917777701,810878.4088506707,785922.1639658363,0.0011197083188663561,0.4143569023554359,0.2572740909295005,0.32724929839619743
a0,a11,56069.80119787663,884692.0917777701,834146.0260491694,351138.290810811,0.0004047505667118953,0.1587883747972022,0.1261643389718046,0.7146425356642814
a0,a110,56069.80119787663,884692.0917777701,467373.93575357925,588443.7767720768,0.002126027818204437,0.6499194907594508,0.05992287946242577,0.288031601959919
a0,a111,56069.80119787663,884692.0917777701,357493.22901714314,743931.0837466379,1.5304365885631e-05,0.893189438603062,0.006498348447690288,0.1002969085833622
a0,a112,56069.80119787663,884692.0917777701,668271.722132305,879319.8194308287,0.00034658932698743275,0.7381187554072108,0.033723521992300914,0.22781113327350075
a0,a113,56069.80119787663,884692.0917777701,1101632.07022221,374377.2132972318,0.0013618879098538331,0.7836951338490804,0.15038036892345322,0.06456260931761239
a0,a114,56069.80119787663,884692.0917777701,1056986.416640087,323446.4555684303,0.0008204014941702135,0.6401504830914552,0.1309957617876393,0.22803335362673532
a0,a115,56069.80119787663,884692.0917777701,810511.4418803129,188610.88204298413,4.281149479212602e-05,0.1882392873409473,0.00714985324255626,0.8045680479217042
a0,a116,56069.80119787663,884692.0917777701,788153.8646842038,115587.17865067003,1.5871287238079967e-06,0.20210873562954854,0.006071081016773958,0.7918185962249537
a0,a117,56069.80119787663,884692.0917777701,877228.1276004345,267618.67895772593,0.0003567213729216002,0.216628426540697,0.047485922163520045,0.7355289299228613
a0,a118,56069.80119787663,884692.0917777701,655152.1602728554,73221.8684230595,1.6719083765374513e-05,0.21998785686670727,0.01951440678150541,0.760481017268022
a0,a119,56069.80119787663,884692.0917777701,613095.0835513998,48827.16427218677,0.00030545559743935227,0.3000698900741127,0.031353456199383345,0.6682711981290645
a0,a12,56069.80119787663,884692.0917777701,843389.862868725,301726.83436315175,0.0003789501609353063,0.16950038089465508,0.06618198582877109,0.7639386831156385
a0,a120,56069.80119787663,884692.0917777701,715982.2812948421,62851.85724782064,1.6797506073168169e-06,0.20684729699046023,0.011669273540703073,0.7814817497182294
a0,a121,56069.80119787663,884692.0917777701,676204.8015177662,134282.42796525714,1.2053597210751781e-05,0.18645974313404923,0.014243165624572172,0.7992850376441678
a0,a122,56069.80119787663,884692.0917777701,614101.4052077644,135010.2442198934,0.0004906167314671245,0.2549217341178483,0.0230667462068336,0.721520902943851
a0,a123,56069.80119787663,884692.0917777701,378955.81636022177,25302.705415893262,0.0042190305610519865,0.7483731654165874,0.11740634132225783,0.13000146270010282
a0,a124,56069.80119787663,884692.0917777701,417057.3888173261,45379.80551404052,0.004133777460834222,0.743189421896175,0.08234507321492544,0.1703317274280654
a0,a125,56069.80119787663,884692.0917777701,231949.95256301202,253263.25588807205,0.020959998482699176,0.8133748668437869,0.164717011351672,0.0009481233218418567
a0,a126,56069.80119787663,884692.0917777701,328632.9393094053,135296.91257816774,0.01064351104708152,0.8893897560702103,0.08763042739535791,0.012336305487350213
a0,a127,56069.80119787663,884692.0917777701,256249.6596368124,170215.77942977345,0.012092606479323958,0.8181903168951113,0.16967678059896266,4.029602660208474e-05
a0,a128,56069.80119787663,884692.0917777701,250104.19453869265,60574.9944027669,0.007540896879905527,0.817470498315079,0.17426442204489054,0.0007241827601249572
a0,a129,56069.80119787663,884692.0917777701,327339.6680457174,35817.221126778335,0.005300166866648532,0.8143708119291174,0.1324332640340922,0.04789575717014188
a0,a13,56069.80119787663,884692.0917777701,913989.1689278532,349937.74011594173,0.00045356823966836204,0.3918177082833561,0.1637556804408943,0.4439730430360811
a0,a130,56069.80119787663,884692.0917777701,393428.4028096592,103474.97761861472,0.005424763607278015,0.7568223113268511,0.08492762153390866,0.15282530353196228
a0,a131,56069.80119787663,884692.0917777701,300359.0151182758,229319.84411943748,0.02281759405934619,0.827558709019138,0.14853221160193406,0.0010914853195817577
a0,a132,56069.80119787663,884692.0917777701,410648.84798830474,170464.25063504602,0.01072072099501874,0.6719588282329568,0.07286328219574499,0.24445716857627947
a0,a133,56069.80119787663,884692.0917777701,355621.12161828723,246216.9406817958,0.023832518028715183,0.7413137463801778,0.08107458436130756,0.15377915122979935
a0,a134,56069.80119787663,884692.0917777701,512480.9626694973,116381.90953159332,0.002494139801157406,0.4034918724567342,0.04377065796741289,0.5502433297746956
a0,a135,56069.80119787663,884692.0917777701,565617.324545921,184852.4456844187,0.0016787041348065004,0.19551193497797328,0.03173423288398286,0.7710751280032373
a0,a136,56069.80119787663,884692.0917777701,467830.9970358993,191161.84204636104,0.0070877455280616295,0.4514840630541126,0.05145040639294859,0.4899777850248772
a0,a137,56069.80119787663,884692.0917777701,473067.03647798474,61758.154409781426,0.0031621841771777397,0.5507013988190199,0.06390583179416023,0.38223058520964204
a0,a138,56069.80119787663,884692.0917777701,555424.5108983595,48722.52404329714,0.0008838377159765888,0.34279232310713265,0.03690866157589992,0.6194151776009907
