O_id,D_id,O_lng,O_lat,D_lng,D_lat,c_1,c_2,c_3
a111,a111,889898.6054375658,334168.1847814049,889898.6054375658,334168.1847814049,0.0037464032152657555,0.9394169762984743,0.05670391011010256
a111,a112,889898.6054375658,334168.1847814049,953217.6002339176,358595.8068912402,0.004085849175311189,0.9097889859263683,0.08597839438171186
a111,a113,889898.6054375658,334168.1847814049,921905.8769496068,241648.34559829297,0.0041698662024727004,0.9957230717200378,0.0
a111,a114,889898.6054375658,334168.1847814049,872456.6094339284,438687.8966384425,0.0,0.2538954670297902,0.7456581430418545
a111,a115,889898.6054375658,334168.1847814049,961145.5489171164,430932.7807529989,0.002186256712829367,0.5360292098340216,0.46146659519696737
a111,a116,889898.6054375658,334168.1847814049,839474.0044251609,136792.8994097369,0.008120965347919631,0.9918790346520804,0.0
a111,a123,889898.6054375658,334168.1847814049,158688.12922342742,304092.45677115925,0.009105826526831014,0.9831137630544077,0.0077804104187612156
a111,a124,889898.6054375658,334168.1847814049,206319.19673729897,328865.4561528018,0.008243350267347137,0.9578211577205392,0.033935492012113606
a111,a125,889898.6054375658,334168.1847814049,189826.4430094485,253615.24534992728,0.006886731403677164,0.9931099670728962,3.301523426816927e-06
a111,a126,889898.6054375658,334168.1847814049,101469.55867537452,320632.88337018143,0.009612991509259478,0.9748225320616005,0.015564476429139905
a111,a127,889898.6054375658,334168.1847814049,135282.50934994128,229999.81351310475,0.2873067304383719,0.7099840856962047,0.0027091838654232504
a111,a128,889898.6054375658,334168.1847814049,142851.35185221775,404061.9114977633,0.007054758616478969,0.7138129308553856,0.2791323105281355
a111,a131,889898.6054375658,334168.1847814049,100496.56918734881,93541.4231500263,0.015219584566276798,0.9847561959309131,2.4219502810097882e-05
a111,a132,889898.6054375658,334168.1847814049,178270.55889992104,28644.331303343588,0.019487369330386407,0.9804756226319908,3.700803762290741e-05
a111,a133,889898.6054375658,334168.1847814049,191396.63816203005,55054.906258921466,0.01573959723312514,0.9842252797815497,3.5122985325177305e-05
a111,a140,889898.6054375658,334168.1847814049,657799.9344759176,106813.5476831162,0.02294444374692868,0.9770555562530713,0.0
a111,a141,889898.6054375658,334168.1847814049,559503.9171400985,170225.47241325825,0.018941435710749233,0.9810585642892506,0.0
a111,a142,889898.6054375658,334168.1847814049,697489.1381251899,33731.56097852739,0.02750161936213738,0.9724857269855012,1.2653652361514613e-05
a111,a143,889898.6054375658,334168.1847814049,587417.5922031568,34160.064022870574,0.02860676890581928,0.9713796877705424,1.3543323638351621e-05
a111,a144,889898.6054375658,334168.1847814049,764120.2737484153,127496.77641676567,0.01481467696489592,0.9851853230351042,0.0
a111,a145,889898.6054375658,334168.1847814049,801969.8786380383,40813.14938665215,0.019985897898531054,0.9800091151594275,4.986942041501564e-06
a111,a146,889898.6054375658,334168.1847814049,764684.5824278677,213777.02528307578,0.010272602720190661,0.9897273972798093,0.0
a111,a147,889898.6054375658,334168.1847814049,808104.6029462998,305876.3946884389,0.00501597083032922,0.9797955043396961,0.015073238408986537
a111,a148,889898.6054375658,334168.1847814049,755661.7892370732,424910.8419180814,0.0021134992012398234,0.5520070396995401,0.44556899455331855
a111,a149,889898.6054375658,334168.1847814049,340425.32480170863,419500.2795059868,0.15691714791977054,0.6385192029746447,0.2045636491055848
a111,a150,889898.6054375658,334168.1847814049,284022.0021387968,371686.3067146672,0.009215939668119164,0.846391363843371,0.1443926964885098
a111,a151,889898.6054375658,334168.1847814049,347472.4264356048,23423.759017483484,0.02585406862360777,0.9740411776387194,0.0001047537376727444
a111,a152,889898.6054375658,334168.1847814049,457036.70542516606,29901.583668573876,0.02966206300330875,0.9702909035888375,4.70334078536794e-05
a111,a153,889898.6054375658,334168.1847814049,265425.91818751773,267858.216070384,0.00640422228681948,0.9935587992637003,3.697844948014902e-05
a111,a154,889898.6054375658,334168.1847814049,337992.9638296548,283634.7635324999,0.012196041390007026,0.9875331449508421,0.00027081365915089257
a111,a155,889898.6054375658,334168.1847814049,123569.25872662885,174761.65993260653,0.009896072713623907,0.9900951414845414,8.785801834728495e-06
a111,a156,889898.6054375658,334168.1847814049,69967.5094148483,146833.04952419884,0.01161635384542067,0.9883482834370106,3.5362717568684835e-05
a111,a157,889898.6054375658,334168.1847814049,598149.6531604263,325924.1985463205,0.010605166604714469,0.9656789531322387,0.02371588026304683
a111,a158,889898.6054375658,334168.1847814049,718546.7056600809,280174.88599280297,0.00877959226869788,0.9880981410069017,0.0031222667244003507
a111,a159,889898.6054375658,334168.1847814049,665640.395920277,371271.0935024247,0.003917779456969235,0.5973276051750999,0.39875461536793083
a111,a160,889898.6054375658,334168.1847814049,639160.1934699564,219984.41944878036,0.14704571598042726,0.8528450444309474,0.0001092395886252087
a111,a161,889898.6054375658,334168.1847814049,623757.5346375275,411547.4873963247,0.0013383298096790424,0.3727546025733464,0.6259070676169745
a111,a162,889898.6054375658,334168.1847814049,522260.529058452,389287.7592568193,0.009036205646702778,0.7901842763919628,0.20077951796133436
a111,a163,889898.6054375658,334168.1847814049,572419.4766570954,442805.5715894155,0.16551493755423205,0.2724136480432484,0.5620714144025195
a111,a164,889898.6054375658,334168.1847814049,437104.855361589,308596.91175112606,0.012615716849314191,0.9758123317315262,0.011571951419159683
a111,a165,889898.6054375658,334168.1847814049,374228.23238387256,326027.02592110867,0.011317478244875142,0.9678525196506693,0.020830002104455698
a111,a166,889898.6054375658,334168.1847814049,494685.8524414195,338503.33431357687,0.011659833351042814,0.9223303872623908,0.06600977938656641
a111,a167,889898.6054375658,334168.1847814049,518552.92688713095,269940.4936444087,0.013783810784347946,0.9858952804291173,0.00032090878653463106
a111,a168,889898.6054375658,334168.1847814049,433402.96115163004,376962.28433596133,0.008958025164118578,0.7446952464312694,0.24634672840461197
a111,a169,889898.6054375658,334168.1847814049,456087.8228465036,102498.81271949028,0.021314703906869743,0.9786852960931303,0.0
a111,a170,889898.6054375658,334168.1847814049,519805.90074547374,118641.20973548148,0.021042441457407576,0.9789575585425924,0.0
a111,a171,889898.6054375658,334168.1847814049,343985.5466227383,176617.85136387756,0.00896738245710685,0.9910265271713841,6.090371509148367e-06
a111,a172,889898.6054375658,334168.1847814049,299799.322796599,225498.61033083944,0.008532641254392358,0.9914639653320224,3.393413585394379e-06
a111,a173,889898.6054375658,334168.1847814049,358791.4467467901,224542.31448850737,0.010189965597639749,0.9898100344023603,0.0
a111,a174,889898.6054375658,334168.1847814049,451809.84950453043,231536.977386209,0.014364021227168034,0.9856359787728319,0.0
a111,a175,889898.6054375658,334168.1847814049,346409.23746043496,106081.34675001315,0.0167403598330696,0.9832278967423399,3.1743424590416554e-05
a111,a176,889898.6054375658,334168.1847814049,336284.02911775204,55263.020605026235,0.33837980244436994,0.6540067195779318,0.007613477977698385
a111,a177,889898.6054375658,334168.1847814049,300159.23027910286,70027.52948084273,0.01643714967483379,0.9835305466687579,3.230365640829774e-05
a111,a178,889898.6054375658,334168.1847814049,311477.80763229344,137387.37398025722,0.011313462092862601,0.9886524742370975,3.406367003989767e-05
a111,a179,889898.6054375658,334168.1847814049,390553.09471993975,89346.19606364821,0.022852492525955018,0.9771321984849745,1.5308989070444225e-05
a111,a180,889898.6054375658,334168.1847814049,418324.69919599063,156910.55190337266,0.017600764257908304,0.9823992357420918,0.0
a111,a181,889898.6054375658,334168.1847814049,185946.28828781072,127998.11196928172,0.011251933339142862,0.9887423516837418,5.714977115384551e-06
a111,a182,889898.6054375658,334168.1847814049,247796.7898337899,64544.50554831517,0.01329987853821613,0.9866842232366767,1.589822510715574e-05
a111,a183,889898.6054375658,334168.1847814049,154678.1597341107,93195.27795207004,0.9613802302466594,0.006240414733772773,0.03237935501956785
a111,a184,889898.6054375658,334168.1847814049,152292.192258539,148825.3494121334,0.41100673548773503,0.5790615252817638,0.009931739230501073
