I,c
310089807516.9769,c_1
26304411122.02929,c_2
6125124133.163634,c_3
364321490.640188,c_4
160588046.21759704,c_5
42017477.09035164,c_6
8683860.450023992,c_7
7422775.734212432,c_8
5144940.290917292,c_9
283309.72173618095,c_10
